,Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist
149,Tomb Raider,"Jan 01, 2013",[],3.5,896,896,['Adventure'],"Tomb Raider explores the intense and gritty origin story of Lara Croft and her ascent from a young woman to a hardened survivor. Armed only with raw instincts and the ability to push beyond the limits of human endurance, Lara must fight to unravel the dark history of a forgotten island to escape its relentless hold.",[],15K,175,2K,508
150,Super Mario Galaxy 2,"Jan 01, 2010",[],4.3,1K,1K,['Adventure'],"Super Mario Galaxy 2 is the sequel to Super Mario Galaxy and the fourth 3D platformer entry in the Mario franchise. The sequel retains many elements from its predecessor, such as the adventure being in outer space, the element of gravity, and recurring objects such as Launch Stars and Sling Stars. Returning items include the Bee Mushroom and the Fire Flower. However, the game introduces new elements as well, such as the utilization of Yoshi, new power-ups like the Cloud Flower, and the use of a ",[],13K,123,2K,1K
151,Donkey Kong Country,"Jan 01, 1994",[],3.9,1K,1K,['Adventure'],"Donkey Kong Country is a side scrolling platformer by British developers Rare in 1994. It featured revolutionary pre-rendered 3D graphics that give the game a very unique look compared to most other games on consoles at the time. The two playable characters featured in the game are the titular character, Donkey Kong and his nephew, Diddy Kong. Together the two swing, climb, jump, swim, cartwheel, ride animals, and blast out of barrels on their way to recover their stolen bannanas from the evil K",[],11K,186,1K,514
152,What Remains of Edith Finch,"Jan 01, 2017",[],4.0,1K,1K,['Adventure'],"What Remains of Edith Finch is a collection of short stories about a cursed family in Washington State.
             

              Each story offers a chance to experience the life of a different family member with stories ranging from the early 1900s to the present day. The gameplay and tone of the stories are as varied as the family members themselves. The only constants are that each is played from a first-person perspective and that each story ends with that family member's death. It's a g",[],8K,61,2K,1K
153,Monster Hunter Rise,"Jan 01, 2021",[],4.0,789,789,['Adventure'],"Rise to the challenge and join the hunt! In Monster Hunter Rise, the latest installment in the award-winning and top-selling Monster Hunter series, youâ€™ll become a hunter, explore brand new maps and use a variety of weapons to take down fearsome monsters as part of an all-new storyline.",[],5K,1K,1K,1K
154,Pokémon Emerald,"Jan 01, 2004",[],4.0,1K,1K,['Adventure'],"Pokémon Emerald Version is a sister game to Pokémon Ruby and Sapphire. Emerald Version provided the main storyline with more depth and length, as well as making small aesthetic changes to the world and adding unique animations for each Pokémon.",[],16K,219,1K,376
155,NEO: The World Ends with You,"Jan 01, 2021",[],4.2,725,725,['Brawler'],"Explore a stylized recreation of Shibuya, as you take on the role of Rindo to battle for survival and unravel the mysteries of the deadly “Reaper’s Game” in this new Action RPG and follow-up to the classic RPG hit ""The World Ends with You.""",[],2K,357,2K,2K
156,Assassin's Creed II,"Jan 01, 2009",[],3.8,1K,1K,['Adventure'],"Discover an intriguing and epic story of power, revenge and conspiracy set during a pivotal moment in history: the Italian Renaissance.
              
              Experience the freedom and immersion of an all new open world and mission structure with settings such as the rooftops and canals of beautiful Venice. Your options in combat, assassination and escape are vast, with many new weapons, settings and gameplay elements.",[],16K,140,1K,521
157,Pokémon Scarlet,"Jan 01, 2022",[],3.5,596,596,['Adventure'],"The Pokémon Scarlet and Pokémon Violet games, the newest chapters in the Pokémon series, are coming to Nintendo Switch later this year. With these new titles, the Pokémon series takes a new evolutionary step, allowing you to explore freely in a richly expressed open world.
             

              Various towns blend seamlessly into the wilderness with no borders. You’ll be able to see the Pokémon of this region in the skies, in the seas, in the forests, on the streets—all over! You’ll be ab",[],2K,580,489,496
158,New Super Mario Bros.,"Jan 01, 2006",[],3.5,991,991,['Adventure'],"New Super Mario Bros. is a side-scrolling 2.5D action-adventure platformer game for the Nintendo DS, starring Mario and Luigi. The game features a solo story mode with Mario or Luigi, a two-player wireless game Mario Vs. Luigi, as well as a minigame mode for up to four players. The gameplay of New Super Mario Bros. is very much like that of the classic 2D platformers, mostly Super Mario Bros. and Super Mario Bros. 3, and substantially builds upon them to create gameplay both classic and contempo",[],16K,108,824,287
159,Horizon Forbidden West,"Jan 01, 2022",[],3.8,830,830,['Adventure'],"Horizon Forbidden West continues Aloy’s story as she moves west to a far-future America to brave a majestic, but dangerous frontier where she’ll face awe-inspiring machines and mysterious new threats.",[],2K,561,2K,2K
160,Detroit: Become Human,"Jan 01, 2018",[],3.5,1K,1K,['Adventure'],"Detroit: Become Human puts the destiny of both mankind and androids in your hands, taking you to a near future where machines have become more intelligent than humans. Every choice you make affects the outcome of the game, with one of the most intricately branching narratives ever created.",[],11K,216,2K,1K
161,Final Fantasy XV,"Jan 01, 2016",[],3.3,1K,1K,['Adventure'],"Take the journey, now in ultimate quality. Boasting a wealth of bonus content and supporting ultra high-resolution graphical options and HDR 10, you can now enjoy the beautiful and carefully-crafted experience of FINAL FANTASY XV like never before.",[],11K,374,3K,1K
162,Persona 5 Strikers,"Jan 01, 2020",[],3.7,993,993,['Adventure'],"Persona 5 Scramble is a crossover between Koei Tecmo's hack and slash Dynasty Warriors series and Atlus's turn-based role-playing game Persona series. As a result, it features gameplay elements from both, such as the real-time action combat of the former with the turn-based Persona-battling aspect of the latter. The game is set six months after the events of Persona 5, and follows Joker and the rest of the Phantom Thieves of Hearts as they end up in a mysterious version of Tokyo filled with supe",[],5K,779,3K,1K
163,Limbo,"Jan 01, 2010",[],3.5,965,965,['Adventure'],Limbo is a black and white puzzle-platforming adventure. Play the role of a young boy traveling through an eerie and treacherous world in an attempt to discover the fate of his sister.,[],13K,129,2K,852
164,Pokémon Platinum,"Jan 01, 2008",[],4.1,1K,1K,['Adventure'],"In Pokémon Platinum another world has emerged in the Sinnoh Region, a world where space and time are altered! Catch, train, and battle your favorite Pokémon, and discover ancient, mythical Pokémon in this exciting adventure! The platinum version also has expanded online options with new experiences in the Wi-Fi Plaza and Battle Frontier!",[],14K,254,1K,461
165,Stranger of Paradise: Final Fantasy Origin,"Jan 01, 2022",[],3.6,607,607,['Adventure'],"Jack and his allies, Ash and Jed, burn with resolve to defeat Chaos as they throw open the gates to the Chaos Shrine. Yet doubts remain—are they truly the Warriors of Light the prophecy foretold?
              
              Step into a world of dark fantasy and revel in the exhilarating, action-packed battles!",[],1K,180,1K,1K
166,Killer7,"Jan 01, 2005",[],4.3,1K,1K,['Adventure'],"Sneak into a world of underground assassins as Harman Smith, a man who manifests 7 deadly personalities, the killer7. Take control of this distinct murderers' row as they hunt down the sinister Kun Lan to thwart his plan of world dominance.",[],2K,237,2K,1K
167,Grand Theft Auto IV,"Jan 01, 2008",[],3.8,1K,1K,['Adventure'],"Grand Theft Auto IV is an action-adventure video game developed by Rockstar North and published by Rockstar Games. It is the eleventh title in the Grand Theft Auto series, and the first main entry since 2004's Grand Theft Auto: San Andreas.
             

              The game is played from a third-person perspective and its world is navigated on-foot or by vehicle. Throughout the single-player mode, players play as Niko Bellic. An online multiplayer mode is included with the game, allowing up",[],14K,258,1K,721
168,Metroid: Zero Mission,"Jan 01, 2004",[],4.0,1K,1K,['Adventure'],"The full story of Samus Aran's first mission finally unfolds...
             

              The first Metroid game just scratched the surface of the cataclysmic events on planet Zebes, and at long last the rest of the tale has come to light. Experience the first of Samus's legendary adventures through all-new cut-scenes and action sequences as the bounty hunter races through the deeps toward her showdown with the leader of the Space Pirates. But will the end of Mother Brain really mean the end ",[],7K,148,1K,700
169,Final Fantasy X,"Jan 01, 2001",[],4.1,1K,1K,['Adventure'],"Final Fantasy X is the tenth main installment in the FF series and the first title released on sixth-generation consoles. It was also the first game to feature fully three-dimensional areas rather than including pre-rendered backdrops, and the first to include voice acting. Final Fantasy X tells the story of a star blitzball player, Tidus, who journeys with a young and beautiful summoner named Yuna on her quest to save the world of Spira from an endless cycle of destruction wrought by the coloss",[],8K,330,2K,990
170,Danganronpa 2: Goodbye Despair,"Jan 01, 2012",[],3.9,972,972,['Adventure'],"The follow up to Danganronpa: Trigger Happy Havoc. The main character, Hajime Hinata, a new 'Ultimate' student at Hope's Peak Academy. On their first day, Hajime and all of his classmates are taken on a field trip to the mysterious Jabberwock island by their anthropomorphic rabbit teacher, Usami. Usami explains that on this island the students are to have fun together and become friends to gather Hope Fragments. Usami's field trip does not go as planned when Monokuma appears and begins a new Kil",[],9K,288,1K,605
171,Final Fantasy IX,"Jan 01, 2000",[],4.3,1K,1K,['RPG'],"Final Fantasy IX is the ninth main installment in the FF series. The title is a return to the series's roots, with gameplay features and references to the past games featuring throughout, as well as a medieval fantasy setting and cartoonish art style as a break from the sci-fi slant style of Final Fantasy VII and Final Fantasy VIII.",[],6K,350,3K,1K
172,Halo 3,"Jan 01, 2007",[],4.2,1K,1K,['Shooter'],"Halo 3 is a shooter game where players primarily experience gameplay from a first-person perspective. Much of the gameplay takes place on foot, but also includes segments focused on vehicular combat. The balance of weapons and objects in the game was adjusted to better adhere to the ""Golden Triangle of Halo"": these are weapons, grenades, and melee attacks, which are available to a player in most situations. Players may dual-wield some weapons, forgoing the use of grenades and melee attacks in fa",[],12K,101,1K,528
173,Metroid Fusion,"Jan 01, 2002",[],4.0,1K,1K,['Adventure'],"The famed Metroid series makes its return on the Game Boy Advance with Metroid Fusion. After Samus' exploits in the Super Nintendo classic Super Metroid, the intergalactic bounty hunter becomes infected with a parasitic life form known only as ""X"". Samus is rescued and revived by Metroid DNA only after undergoing some major changes in her body and suit, resulting in a drastic change in her appearance, and a new ability to absorb and assimilate the abilities of the ""X"" virus. Experience a new and",[],7K,146,2K,799
174,Final Fantasy VI,"Jan 01, 1994",[],4.4,1K,1K,['Adventure'],"Final Fantasy VI is the sixth main installment in the Final Fantasy series, developed and published by Square. It was the final title in the series to feature two-dimensional graphics, and the first story that did not revolve around crystals.
             

              The game gives players up to fourteen playable characters, the largest cast in the series, and features the Active Time Battle pseudo-turn based menu command system. A party can consist of up to four characters, though some even",[],6K,312,3K,1K
175,VA-11 Hall-A: Cyberpunk Bartender Action,"Jan 01, 2016",[],4.1,940,940,['Adventure'],"Learn about daily life in a cyberpunk dystopia.
             

              A branching storyline where your decisions do not depend on traditional choices, but through the drinks you prepare.
             

              Visuals inspired by old japanese adventure games for the PC-98, with a modern touch for an other-wordly experience.
             

              A beatiful soundtrack composed entirely by Garoad.
             

              Get to know your clients, their tastes, and prepare ",[],5K,469,2K,1K
176,Dead Cells,"Jan 01, 2018",[],3.8,802,802,['Adventure'],"Dead Cells is a rogue-lite, metroidvania inspired, action-platformer. You'll explore a sprawling, ever-changing castle... assuming you’re able to fight your way past its keepers in 2D souls-lite combat. No checkpoints. Kill, die, learn, repeat.",[],9K,737,2K,1K
177,Far Cry 3,"Jan 01, 2012",[],3.7,983,983,['Adventure'],"Beyond the reach of civilization lies a lawless island ruled by violence. This is where you find yourself stranded, caught in a bloody conflict between the island’s psychotic warlords and indigenous rebels. Struggling to survive, your only hope of escape is through the muzzle of a gun. Discover the island’s dark secrets and take the fight to the enemy; improvise and use your environment to your advantage; and outwit its cast of ruthless, deranged inhabitants. Beware the beauty and mystery of thi",[],14K,188,1K,660
178,The Stanley Parable: Ultra Deluxe,"Jan 01, 2022",[],4.1,592,592,['Adventure'],"The Stanley Parable: Ultra Deluxe is an expanded re-imagining of 2013's The Stanley Parable. You will play as Stanley, and you will not play as Stanley. You will make a choice, and you will become powerless. You are not here to win. The Stanley Parable is a game that plays you.",[],3K,141,1K,1K
179,SuperHot,"Jan 01, 2016",[],3.7,835,835,['Fighting'],"SuperHot is the first person shooter where time moves only when you move. No regenerating health bars. No conveniently placed ammo drops. It's just you, outnumbered and outgunned, grabbing weapons off fallen enemies to shoot, slice, and maneuver through a hurricane of slow-motion bullets.
             

              With its mesmerising gameplay and unique, stylized graphics SUPERHOT aims to finally add something new and disruptive to the FPS genre.
             

              See the bullets ",[],12K,95,1K,842
180,Plants vs. Zombies,"Jan 01, 2009",[],3.7,719,719,['Puzzle'],"Zombies are invading your home, and the only defense is your arsenal of plants! Armed with an alien nursery-worth of zombie-zapping plants like peashooters and cherry bombs, you'll need to think fast and plant faster to stop dozens of types of zombies dead in their tracks.",[],14K,117,493,82
181,Ori and the Blind Forest,"Jan 01, 2015",[],3.9,780,780,['Adventure'],"The forest of Nibel is dying. After a powerful storm sets a series of devastating events in motion, an unlikely hero must journey to find his courage and confront a dark nemesis to save his home. Ori and the Blind Forest tells the tale of a young orphan destined for heroics, through a visually stunning action-platformer crafted by Moon Studios for Xbox One and PC. Featuring hand-painted artwork, meticulously animated character performance, and a fully orchestrated score, Ori and the Blind Forest",[],7K,260,2K,1K
182,Demon's Souls,"Jan 01, 2020",[],3.9,880,880,['Adventure'],"Entirely rebuilt from the ground up and masterfully enhanced, Demon's Souls is a remake of the 2009 release that introduces the horrors of a fog-laden, dark fantasy land to a whole new generation of gamers. Those who’ve faced its trials and tribulations before, can once again challenge the darkness in stunning visual quality with incredible performance. The remake features improved graphics and animations, sound and lighting tweaks and a reimagining of many of the visual, musical and mechanical ",[],4K,403,2K,2K
183,A Plague Tale: Innocence,"Jan 01, 2019",[],3.7,852,852,['Adventure'],"A Plague Tale: Innocence, on PlayStation 4, Xbox One and PC, tells the grim story of two siblings fighting together for survival in the darkest hours of History. This new video game from Asobo Studio sends you on an emotional journey through the 14th century France, with gameplay combining adventure, action and stealth, supported by a compelling story. Follow the young Amicia and her little brother Hugo, who face the brutality of a ravaged world as they discover their purpose to expose a dark se",[],5K,202,2K,1K
184,The Legend of Zelda: Link's Awakening,"Jan 01, 2019",[],3.9,1K,1K,['Adventure'],"The Legend of Zelda: Link's Awakening is a remake of the 1993 game of the same name. Besides the complete graphical and sound overhaul, its gameplay controls have been changed to incorporate the additional buttons the Switch holds as opposed to the 2-button choice of the Game Boy. The overworld map is far more detailed and specific locations can now be marked to be returned to on a later occasion. Additional heart-pieces can also be won, extending the heart meter to a total of 20 instead of the ",[],7K,387,2K,2K
185,Assassin's Creed,"Jan 01, 2007",[],2.9,801,801,['Adventure'],"Assassin's Creed is a non-linear action-adventure video game, during which the player controls a 12th-century Levantine Assassin named Altaïr Ibn-La'Ahad during the Third Crusade, whose life is experienced through the Animus by his 21st century descendant, Desmond Miles.",[],13K,118,1K,496
186,Judgment,"Jan 01, 2018",[],4.1,890,890,['Adventure'],"Judgment is an action-adventure game played from a third-person perspective. The game is a legal thriller set in the Yakuza world of Kamurocho and follows private detective Takayuki Yagami as he investigates a serial murder case. It stars Japanese actor Takuya Kimura and employs a fighting system similar to that of Yakuza 0 where players can change into different styles, namely crane-style which is more focused on fighting groups and tiger-style which is more focused on fighting individuals. Add",[],3K,358,2K,1K
187,Call of Duty: Black Ops,"Jan 01, 2010",[],3.7,920,920,['Shooter'],"Call of Duty: Black Ops is the seventh main Call of Duty game and the sequel to Call of Duty: World at War. The game differs from most previous installments, which would involve a usual three-country campaign, while Call of Duty: Black Ops features two playable countries (Russia and the USA) but only has an American campaign. Several new features are also introduced, such as dive-to-prone and the available use of a flashlight on certain weapons. Furthermore, the campaign's playable characters no",[],14K,44,611,318
188,Ratchet & Clank: Rift Apart,"Jan 01, 2021",[],4.0,906,906,['Adventure'],"Go dimension-hopping with Ratchet and Clank as they take on an evil emperor from another reality. Jump between action-packed worlds and beyond at mind-blowing speeds, complete with dazzling visuals and an insane arsenal.",[],3K,218,1K,1K
189,Pokémon Black,"Jan 01, 2010",[],4.0,1K,1K,['Adventure'],"Pokémon Black Version and Pokémon White Version are the primary paired versions of Generation V.
              
              Black and White follow the trends set up by previous games in the series. Two player characters (one male and one female) travel a new region, Unova, on their Pokémon journeys. This region is inhabited by various Pokémon, and unlike before, none of those available prior to Generation V can be obtained before completing the main story by defeating Team Plasma.
            ",[],12K,186,1K,461
190,The Stanley Parable,"Jan 01, 2013",[],3.8,767,767,['Adventure'],"The Stanley Parable is a first-person exploration game which ponders questions related to player agency, narrative pacing, escapism through gaming, objective-driven game design, authorial intent, and the conflict of interest between players and game creators.",[],10K,46,1K,833
191,The Legend of Zelda,"Jan 01, 1986",[],3.2,1K,1K,['Adventure'],"The Legend of Zelda is the first title in the Zelda series, it has marked the history of video games particularly for it's game mechanics and universe. The player controls Link and must make his way through the forests, graveyards, plains and deserts of the Otherworld to find the secret entrances to the eight dungeons and try to restore the broken Triforce. Among the game's mechanics, it was the first time we saw a continuous world that could be freely explored, power-ups that permanently enhanc",[],9K,132,1K,463
192,AI: The Somnium Files - Nirvana Initiative,"Jan 01, 2022",[],3.9,455,455,['Adventure'],Newly-appointed Special Agent Mizuki and her AI partner Aiba are tasked to solve the bizarre Half Body serial killings in this sequel to the critically acclaimed AI: The Somnium Files.,[],1K,139,835,811
193,Ghost Trick: Phantom Detective,"Jan 01, 2010",[],4.4,830,830,['Adventure'],"Ghost Trick: Phantom Detective is a puzzle/adventure game for the Nintendo DS and iOS. It was developed mainly by Shu Takumi, the man behind the Ace Attorney Series. Game's story centers on the protagonist Sissel, and his ghost's struggle to discover who he was when he was alive and who killed him. The player assumes the role of this ghost, who has the ability to perform various Ghost Tricks to solve puzzles and navigate the world around him.",[],3K,149,1K,1K
194,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,"Jan 01, 2019",[],4.2,880,880,['Adventure'],"Ready for a grand adventure filled with memorable characters, an enchanting story and classic RPG gameplay that can be taken on the go? This definitive version of the critically acclaimed game features the same sprawling content of the original, but with newly added character-specific stories, fully orchestrated field and battle music, and the ability to switch between not only between HD and retro-inspired 16-bit visuals, but also Japanese and English voice track.",[],4K,748,3K,1K
195,Paper Mario: The Thousand-Year Door,"Jan 01, 2004",[],4.4,1K,1K,['Adventure'],"What sleeps behind the door?
             

              Time passes, the pages turn… and a new chapter unfolds in an unfamiliar land! Get ready for a two-dimensional role-playing adventure for the ages as Mario returns to paper form to discover a mystery that sleeps behind an ancient, legendary portal called the Thousand-Year Door. The quest is long, the dangers many, and this time, Mario will have to make full use of his papery qualities just to survive.",[],6K,187,2K,1K
196,God of War II,"Jan 01, 2007",[],4.0,936,936,['Adventure'],"Kratos is now the God of War, having defeated the Olympian god Ares. Shunned by the other gods and still haunted by nightmares from his past, Kratos decides to join an army of Spartans in an attack on the city of Rhodes. Kratos also ignores a warning from the goddess Athena that his lust for revenge is alienating the other gods.",[],9K,89,1K,687
197,Mass Effect 2,"Jan 01, 2010",[],4.3,1K,1K,['Adventure'],"Are you prepared to lose everything to save the galaxy? You'll need to be, Commander Shephard. It's time to bring together your greatest allies and recruit the galaxy's fighting elite to continue the resistance against the invading Reapers. So steel yourself, because this is an astronomical mission where sacrifices must be made. You'll face tougher choices and new, deadlier enemies. Arm yourself and prepare for an unforgettable intergalactic adventure.
             

              Game Features:",[],9K,107,1K,645
198,Forza Horizon 5,"Jan 01, 2021",[],3.8,589,589,['Racing'],"Your Ultimate Horizon Adventure awaits! Explore the vibrant and ever-evolving open-world landscapes of Mexico with limitless, fun driving action in hundreds of the world’s greatest cars.",[],4K,589,712,594
199,Metal Gear Solid V: Ground Zeroes,"Jan 01, 2014",[],3.3,650,650,['Adventure'],"Metal Gear Solid V: Ground Zeroes is a prologue to Metal Gear Solid V: The Phantom Pain. It offers players new sneaking and traversal methods compared to its predecessors, as well as the choice in what order the story events take place by selecting missions by advance. The most important change for this title is the shift to an open world design with a real-time day and night cycle doing away with the linear mission approach of previous games. The game was originally developed as a mission for T",[],9K,53,1K,549
200,No More Heroes III,"Jan 01, 2021",[],3.9,604,604,['Brawler'],"The latest numbered entry in the No More Heroes series.
             

              Fight your way to the top of the Galactic Superhero Rankings!
              
              The legendary assassin Travis Touchdown makes his glorious return to the Madness in the No More Heroes 3 game, exclusively on the Nintendo Switch system!",[],1K,109,1K,1K
201,Banjo-Kazooie,"Jan 01, 1998",[],4.0,1K,1K,['Adventure'],"In this 3D platformer, the heroic but naive bear Banjo enlists his cowardly bird buddy Kazooie to help rescue his younger sister from a vain, beauty-stealing witch. The player is tasked with exploring the witch's lair and the nine large, open levels within it, looking for tasks and challenges to complete. Along the way they meet a variety of characters who teach them new moves and transform them into different animals. Modeled after Super Mario 64, Banjo-Kazooie is distinguished by its cheeky an",[],7K,205,2K,765
202,Astro's Playroom,"Jan 01, 2020",[],4.0,914,914,['Adventure'],"Astro and his crew lead you on a magical introduction through PS5 in this fun platformer that comes pre-loaded on PS5. Explore four worlds, each based on PS5’s console components. Each area showcases innovative gameplay that taps into the new features of the PS5's DualSense wireless controller.",[],5K,82,358,249
203,Call of Duty: Black Ops II,"Jan 01, 2012",[],3.8,903,903,['Shooter'],Black Ops II is the first game in the Call of Duty franchise to feature future warfare technology and the first to present branching storylines driven by player choice as well as selecting weapons before starting story mode missions.,[],13K,57,626,286
204,The Legend of Zelda: Skyward Sword HD,"Jan 01, 2021",[],3.8,639,639,['Adventure'],"The Legend of Zelda: Skyward Sword HD is a remaster of the 2011 game Skyward Sword that features enhanced graphics and frame rate. The game now has a standard resolution of 1080p, an intuitive auto-save function and a streamlined item description among other improvements.",[],3K,444,2K,1K
205,Mega Man X,"Jan 01, 1993",[],4.1,1K,1K,['Adventure'],"Near the end of his life, Dr. Light succeeds in creating the first of a new series of robots which will change the world. Able to think and make decisions, this new robot holds great danger as well as great possibilities. Fearful of the possible consequences of unleashing his creation on the world, Dr. Light decides to seal him in a capsule and test his systems until they are totally reliable. The future will have to decide his fate...
             

              Released from the capsule by Dr",[],6K,76,1K,385
206,Subnautica,"Jan 01, 2018",[],3.8,712,712,['Adventure'],"Descend into the depths of an alien underwater world filled with wonder and peril. Craft equipment, pilot submarines and out-smart wildlife to explore lush coral reefs, volcanoes, cave systems, and more, all while trying to survive.",[],7K,335,2K,944
207,Returnal,"Jan 01, 2021",[],4.0,725,725,['Shooter'],"After crash-landing on a shape-shifting alien planet, Selene finds herself fighting tooth and nail for survival. Again and again she’s defeated, forced to restart her journey every time she dies. In this roguelike shooter, both the planet and your equipment change with every cycle, forcing you to adapt your play style and take on evolving challenges.",[],2K,430,1K,1K
208,New Super Mario Bros. Wii,"Jan 01, 2009",[],3.5,859,859,['Adventure'],"New Super Mario Bros. Wii is a side-scrolling 2.5D Mario platformer for the Wii and the tenth game in the Super Mario series. In addition to the single-player experience, New Super Mario Bros. Wii also features a multiplayer mode for up to four players. This is the first Super Mario game to feature co-op and vs. modes at the same time since Mario Bros. It features more items, new levels, and more enemies than the DS predecessor. The game introduces two new power-ups, the Propeller Mushroom and t",[],13K,85,696,241
209,Citizen Sleeper,"Jan 01, 2022",[],4.1,492,492,['Adventure'],"Roleplaying in the ruins of interplanetary capitalism. Live the life of an escaped worker, washed-up on a lawless station at the edge of an interstellar society. Inspired by the flexibility and freedom of TTRPGs, explore the station, choose your friends, escape your past and change your future.",[],1K,131,916,804
210,Yakuza 3 Remastered,"Jan 01, 2018",[],3.3,755,755,['Adventure'],"This is the third Yakuza game, remastered for PlayStation 4!
             

              The Yakuza wars are spreading over to the tropical paradise of Okinawa. After leaving his last base in Kamimuro Chou, Kiryuu Kazuma went to Okinawa and opened an orphanage named Asagao with Haruka. Together with the children, they have taken in, the two slowly let go of the violent lives they have led prior to their arrival. However, the happy days are short-lived for the Yakuza are tightly connected with t",[],4K,235,2K,904
211,Garry's Mod,"Jan 01, 2004",[],3.8,478,478,['Indie'],"Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play. You spawn objects and weld them together to create your own contraptions - whether that's a car, a rocket, a catapult or something that doesn't have a name yet - that's up to you. You can do it offline, or join the thousands of players who play online each day. If you're not too great at construction - don't worry! You can place a variety of characters in silly positions. But",[],12K,198,543,242
212,Wolfenstein: The New Order,"Jan 01, 2014",[],3.6,794,794,['Adventure'],"Wolfenstein: The New Order is an action-adventure shooter game played from a first-person perspective. It is the semi-sequel to 2009's Wolfenstein, however utilizes very little from the game and drops any direct references to veil or supernatural.
             

              To progress through the story, the player battle enemies throughout levels. The game utilizes a health system in which players' health is divided into separate sections that regenerate; if an entire section is lost, the pla",[],8K,149,2K,722
213,Deus Ex,"Jan 01, 2000",[],4.4,899,899,['RPG'],"A philosophical first-person WRPG set in a dystopian 2052 in which JC Denton, a nano-augmented agent for the anti-terrorist organization UNATCO, is tasked with stopping the invasion of Liberty Island by the terrorist group NSF. As events unfold, Denton finds that he plays a large part in a world-spanning conspiracy which forces him to ponder his allegiances, beliefs, morality, and view of right and wrong.",[],3K,189,2K,958
214,BioShock 2,"Jan 01, 2010",[],3.6,687,687,['Adventure'],"BioShock 2 is the second game of the BioShock series and the sequel to BioShock. It continues the grand storyline of the underwater metropolis Rapture. BioShock 2 capitalizes and improves upon the high-quality effects, unique gameplay elements, and immersive atmosphere that defined the first game. It explores more brutal gameplay than its predecessor, with new enemies, weapons, Plasmids, and Gene Tonics.",[],9K,103,3K,691
215,Soul Hackers 2,"Jan 01, 2022",[],3.1,337,337,['RPG'],"Soul Hackers 2 takes place in the 21st Century and is set during a war between the Yagaratsu and the Phantom Society, two opposing factions of Devil Summoners. The story follows two supernatural ""Aion"" beings named Ringo and Figue, who descend into the human world from their birthplace in the data stream of information, in order to avert a cataclysmic event that they predict will doom humanity",[],750,228,932,1K
216,Enter the Gungeon,"Jan 01, 2016",[],3.6,632,632,['Adventure'],"Enter the Gungeon is a gunfight dungeon crawler following a band of regretful misfits seeking to shoot, loot, dodge roll and table-flip their way to personal absolution by reaching the legendary Gungeon’s ultimate treasure: the gun that can kill the past. Select a hero and battle your way to the bot¬tom of the Gungeon by surviving a challenging and evolving series of floors filled with the dangerously adorable Gundead and fearsome Gungeon bosses armed to the teeth. Gather precious loot, discover",[],8K,403,2K,441
217,The House in Fata Morgana,"Jan 01, 2012",[],4.4,544,544,['Adventure'],"A gothic suspense tale set in a cursed mansion. ""The House in Fata Morgana"" is a full-length visual novel spanning nearly a millennium that deals in tragedy, human nature, and insanity.",[],1K,250,1K,1K
218,Shovel Knight,"Jan 01, 2014",[],4.0,761,761,['Adventure'],"Shovel Knight is a sweeping classic action adventure game with awesome gameplay, memorable characters, and an 8-bit retro aesthetic. It's a hot mashup of new and old! You play as the eponymous Shovel Knight, a small knight with a huge quest. Shovel Knight has come to this land with two goals: to defeat the evil Enchantress and quest for his lost beloved. He wields a Shovel Blade: a multipurpose weapon whose techniques have now been lost to the ages. Always honest and helpful, Shovel Knight is a ",[],8K,135,1K,1K
219,Firewatch,"Jan 01, 2016",[],3.7,926,926,['Adventure'],"Firewatch is a single-player first-person video game where you, as a man named Henry, explore the Wyoming wilderness after taking a summer job as a fire lookout. What is supposed to be a peaceful respite from your complicated life takes a turn when you start to question some of the things that are happening to you.
             

              Your only human connection is over a handheld radio, which you’ll use to speak with your supervisor Delilah about the things both of you are experiencing.",[],7K,99,1K,1K
220,Dark Souls II,"Jan 01, 2014",[],3.3,815,815,['Adventure'],"The unique old-school action rpg experience captivated imaginations of gamers worldwide with incredible challenge and intense emotional reward.
              
              Dark Souls II brings the franchise’s renowned difficulty & gripping gameplay innovations to both single and multiplayer experiences.
             

              Immerse yourself into mind-bending environments filled with new twisted monsters and deadly bosses that could only come from the imagination of from software. A wide",[],6K,128,1K,834
221,Blasphemous,"Jan 01, 2019",[],3.7,647,647,['Adventure'],"Blasphemous is a punishing action-platformer that combines the fast-paced, skilled combat of a hack-n-slash game with a deep and evocative narrative core. Explore this nightmarish world of twisted religion and discover its many secrets hidden deep inside. Use devastating combos and brutal executions to smite the hordes of grotesque monsters and titanic bosses, who are all ready to rip your limbs off. Locate and equip relics, rosary beads and prayers that call on the powers of the heavens to aid ",[],4K,399,2K,1K
222,Final Fantasy XIV Online,"Jan 01, 2013",[],3.7,643,643,['Adventure'],"Take part in an epic and ever-changing Final Fantasy as you adventure and explore with friends from around the world. Final Fantasy XIV Online is the 2013 relaunch of the massively multiplayer online role-playing game that takes the wonder of the FF legacy and expands it, allowing you to explore the realm of Eorzea like never before in a Final Fantasy game.
             

              Forge friendships, mount chocobos, and board airships as you and your companions create your own unique stories",[],5K,1K,818,363
