,Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist
30,Dark Souls III,"Jan 01, 2016",[],4.2,2K,2K,['Adventure'],"Dark Souls continues to push the boundaries with the latest, ambitious chapter in the critically-acclaimed and genre-defining series. Prepare yourself and embrace the darkness!",[],19K,851,4K,2K
31,NieR Replicant ver.1.22474487139...,"Jan 01, 2021",[],4.2,1K,1K,['Adventure'],"NieR Replicant ver.1.22474487139... is an updated version of NieR Replicant, previously only released in Japan. Discover the one-of-a-kind prequel to the critically-acclaimed masterpiece NieR: Automata. Now with a modern upgrade, experience masterfully revived visuals, a fascinating storyline and more!",[],6K,880,4K,3K
32,Super Mario 64,"Jan 01, 1996",[],4.1,2K,2K,['Adventure'],"The first three dimensional entry in the Mario franchise, Super Mario 64 follows Mario as he puts his broadened 3D movement arsenal to use in order to rescue Princess Peach from the clutches of his arch rival Bowser. Mario has to jump into worlds-within-paintings ornamenting the walls of Peach's castle, uncover secrets and hidden challenges and collect golden stars as reward for platforming trials.",[],21K,463,2K,775
33,Super Smash Bros. Ultimate,"Jan 01, 2018",[],4.1,2K,2K,['Fighting'],"Legendary game worlds and fighters collide in the ultimate showdown—a new entry in the Super Smash Bros. series for the Nintendo Switch system! New fighters, like Inkling from the Splatoon series and Ridley from the Metroid series, make their Super Smash Bros. series debut alongside every Super Smash Bros. fighter in the series…EVER! Faster combat, new items, new attacks, new defensive options, and more will keep the battle raging whether you’re at home or on the go.",[],25K,1K,1K,801
34,Cuphead,"Jan 01, 2017",[],4.1,1K,1K,['Arcade'],"Cuphead is a classic run and gun action game heavily focused on boss battles. Inspired by cartoons of the 1930s, the visuals and audio are painstakingly created with the same techniques of the era, i.e. traditional cel animation (hand drawn & hand inked!), watercolor backgrounds, and original jazz recordings. Play as Cuphead or Mugman (in single player or co-op) as you traverse strange worlds, acquire new weapons, learn powerful super moves, and discover hidden secrets. Cuphead is all action, al",[],18K,1K,4K,2K
35,Sekiro: Shadows Die Twice,"Jan 01, 2019",[],4.4,2K,2K,['Adventure'],"Enter a dark and brutal new gameplay experience from the creators of Bloodborne and the Dark Souls series. Sekiro: Shadows Die Twice is an intense, third-person, action-adventure set against the bloody backdrop of 14th-century Japan. Step into the role of a disgraced warrior brought back from the brink of death whose mission is to rescue his master and exact revenge on his arch nemesis.
             

              Take Revenge. Restore Your Honor. Kill Ingeniously.",[],14K,919,4K,3K
36,Final Fantasy VII,"Jan 01, 1997",[],4.2,2K,2K,['Adventure'],"Final Fantasy VII is the seventh main installment in the Final Fantasy series, and was the first title to feature three-dimensional graphics, pre-rendered backgrounds and numerous full motion videos.
             

              The gameplay is a departure from previous entries in the series in many ways. Though it retains the Active Time Battle pseudo-turn based menu command system, FFVII features three party members rather than four. The Materia system allows the player to customize each party",[],15K,1K,5K,1K
37,Persona 4 Golden,"Jan 01, 2012",[],4.2,1K,1K,['Adventure'],"An enhanced rerelease of Shin Megami Tensei: Persona 4 (2008) featuring quality-of-life improvements, gameplay enhancements, new locations, balance tweaks, online functionality, new difficulty options, an additional side character storyline and a changed endgame.",[],13K,1K,5K,2K
38,Genshin Impact,"Jan 01, 2020",[],2.6,653,653,['Adventure'],"Genshin Impact is an open-world action RPG, where you embark on a journey across Teyvat to find your lost sibling and seek answers from The Seven, the gods of each element. Explore this wondrous world, join forces with a diverse range of characters, and unravel the countless mysteries that Teyvat holds...",[],14K,2K,1K,280
39,Signalis,"Jan 01, 2022",[],4.2,820,820,['Adventure'],"Signalis is a classic survival horror experience with a unique aesthetic, full of melancholic mystery. Investigate a dark secret, solve puzzles, fight off nightmarish creatures and navigate dystopian, surreal retrotech worlds as Elster, a technician Replika searching for her lost dreams.",[],2K,419,1K,2K
40,Resident Evil Village,"Jan 01, 2021",[],3.9,1K,1K,['Adventure'],"Resident Evil Village is a first person survival horror and the sequel to Resident Evil 7: Biohazard. The game maintains elements from previous Resident Evil games with players having to scavenge environments for items and manage their resources. However, it adds more action-oriented gameplay, with higher enemy counts and a greater emphasis on combat.",[],9K,333,2K,2K
41,Super Mario Galaxy,"Jan 01, 2007",[],4.3,2K,2K,['Adventure'],"A 3D platformer and first Wii entry in the Super Mario franchise, Super Mario Galaxy sees Mario jump across planets and galaxies with varying items, enemies, geographies and gravity mechanics in order to reach his enemy Bowser, who has attacked the Mushroom Kingdom and hijacked Princess Peach's castle with her inside.",[],21K,468,3K,1K
42,Fallout: New Vegas,"Jan 01, 2010",[],4.3,2K,2K,['RPG'],"In this first-person Western RPG, the player takes on the role of Courier 6, barely surviving after being robbed of their cargo, shot and put into a shallow grave by a New Vegas mob boss. The Courier sets out to track down their robbers and retrieve their cargo, and winds up getting tangled in the complex ideological and socioeconomic web of the many factions and settlements of post-nuclear Nevada.",[],16K,756,5K,1K
43,Outer Wilds,"Jan 01, 2019",[],4.6,1K,1K,['Adventure'],"Outer Wilds is a critically-acclaimed and award-winning open world mystery about a solar system trapped in an endless time loop. The newest member of the space program in a small village on the planet Timber Hearth, the player navigates a space shuttle and travels across their solar system to get to the bottom of its mysteries by exploring the cosmos and gathering the knowledge hidden within each of the system's planets, left behind by another civilization in the distant past.",[],7K,661,4K,3K
44,Resident Evil 2,"Jan 01, 1998",[],4.2,1K,1K,['Adventure'],"Resident Evil 2 is a sequel to the first Resident Evil title. Like the previous game in the series, Resident Evil 2 is a 3D action-adventure using three-dimensional polygon characters over two-dimensional pre-rendered backgrounds, with the action viewed through a variety of cinematic fixed camera angles in each room. Players can choose to play as one of two possible characters, each goes through the same initial scenario but with differences in the type of weaponry they find and the people they ",[],5K,54,1K,597
45,Doom,"Jan 01, 1993",[],4.0,1K,1K,['Shooter'],"In the future, humans have left Earth and settled throughout the galaxy. On Mars, the Union Aerospace Corporation has established a radioactive waste facility and allowed the military to conduct teleportation experiments on the nearby moons of Deimos and Phobos. Hours ago, the base on Mars began receiving incoherent distress messages from Phobos, while Deimos has disappeared completely. With all attempts to establish contact failing, you and your team have been dispatched to investigate. Upon ar",[],11K,203,1K,514
46,Shin Megami Tensei V,"Jan 01, 2021",[],3.8,1K,1K,['Adventure'],"Shin Megami Tensei V, the fifth numbered game of the Shin Megami Tensei series, is a role-playing video game set in modern-day Tokyo. It will feature returning gameplay elements from previous games, such as the ability to fuse demons, along with new mechanics.",[],4K,1K,3K,2K
47,Bayonetta,"Jan 01, 2009",[],3.9,1K,1K,['Brawler'],"A member of an ancient witch clan and possessing powers beyond the comprehension of mere mortals, Bayonetta faces-off against countless angelic enemies, many reaching epic proportions, in a game of 100% pure, unadulterated all-out action. Outlandish finishing moves are performed with balletic grace as Bayonetta flows from one fight to another. With magnificent over-the-top action taking place in stages that are a veritable theme park of exciting attractions, Bayonetta pushes the limits of the ac",[],13K,614,5K,2K
48,Stardew Valley,"Jan 01, 2016",[],4.1,1K,1K,['Indie'],"Stardew Valley is an open-ended country-life RPG! Youâ€™ve inherited your grandfatherâ€™s old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home? It wonâ€™t be easy. Ever since Joja Corporation came to town, the old ways of life have all but disappeared. The community center, once the townâ€™s most vibrant hub of activity, now lies in shambles. But ",[],20K,2K,3K,1K
49,The Last of Us Part II,"Jan 01, 2020",[],4.1,2K,2K,['Adventure'],"The Last of Us Part II is an action-adventure game set five years after the events of The Last of Us. The player traverses post-apocalyptic environments such as buildings and forests to advance the story. He can use firearms, improvised weapons, and stealth to defend against hostile humans and cannibalistic creatures infected by a mutated strain of the Cordyceps fungus. The game intermittently switches control between Ellie and Abby, and also briefly Joel in the opening sequence. The nimble natu",[],13K,472,2K,2K
